"Id","Country","Region","Population","Area (sq. mi.)","Coastline","GDP"
137,"Micronesia, Fed. St. ","OCEANIA                            ",108004,702,"870,66",2000
138,"Moldova ","C.W. OF IND. STATES ",4466706,33843,"0,00",1800
139,"Monaco ","WESTERN EUROPE                     ",32543,2,"205,00",27000
140,"Mongolia ","ASIA (EX. NEAR EAST)         ",2832224,1564116,"0,00",1800
141,"Montserrat ","LATIN AMER. & CARIB    ",9439,102,"39,22",3400
142,"Morocco ","NORTHERN AFRICA                    ",33241259,446550,"0,41",4000
143,"Mozambique ","SUB-SAHARAN AFRICA                 ",19686505,801590,"0,31",1200
144,"Namibia ","SUB-SAHARAN AFRICA                 ",2044147,825418,"0,19",7200
145,"Nauru ","OCEANIA                            ",13287,21,"142,86",5000
146,"Nepal ","ASIA (EX. NEAR EAST)         ",28287147,147181,"0,00",1400
147,"Netherlands ","WESTERN EUROPE                     ",16491461,41526,"1,09",28600
148,"Netherlands Antilles ","LATIN AMER. & CARIB    ",221736,960,"37,92",11400
149,"New Caledonia ","OCEANIA                            ",219246,19060,"11,83",15000
150,"New Zealand ","OCEANIA                            ",4076140,268680,"5,63",21600
151,"Nicaragua ","LATIN AMER. & CARIB    ",5570129,129494,"0,70",2300
152,"Niger ","SUB-SAHARAN AFRICA                 ",12525094,1267000,"0,00",800
153,"Nigeria ","SUB-SAHARAN AFRICA                 ",131859731,923768,"0,09",900
154,"N. Mariana Islands ","OCEANIA                            ",82459,477,"310,69",12500
155,"Norway ","WESTERN EUROPE                     ",4610820,323802,"7,77",37800
156,"Oman ","NEAR EAST                          ",3102229,212460,"0,98",13100
157,"Pakistan ","ASIA (EX. NEAR EAST)         ",165803560,803940,"0,13",2100
158,"Palau ","OCEANIA                            ",20579,458,"331,66",9000
159,"Panama ","LATIN AMER. & CARIB    ",3191319,78200,"3,18",6300
160,"Papua New Guinea ","OCEANIA                            ",5670544,462840,"1,11",2200
161,"Paraguay ","LATIN AMER. & CARIB    ",6506464,406750,"0,00",4700
162,"Peru ","LATIN AMER. & CARIB    ",28302603,1285220,"0,19",5100
163,"Philippines ","ASIA (EX. NEAR EAST)         ",89468677,300000,"12,10",4600
164,"Poland ","EASTERN EUROPE                     ",38536869,312685,"0,16",11100
165,"Portugal ","WESTERN EUROPE                     ",10605870,92391,"1,94",18000
166,"Puerto Rico ","LATIN AMER. & CARIB    ",3927188,13790,"3,63",16800
167,"Qatar ","NEAR EAST                          ",885359,11437,"4,92",21500
168,"Reunion ","SUB-SAHARAN AFRICA                 ",787584,2517,"8,22",5800
169,"Romania ","EASTERN EUROPE                     ",22303552,237500,"0,09",7000
170,"Russia ","C.W. OF IND. STATES ",142893540,17075200,"0,22",8900
171,"Rwanda ","SUB-SAHARAN AFRICA                 ",8648248,26338,"0,00",1300
172,"Saint Helena ","SUB-SAHARAN AFRICA                 ",7502,413,"14,53",2500
173,"Saint Kitts & Nevis ","LATIN AMER. & CARIB    ",39129,261,"51,72",8800
174,"Saint Lucia ","LATIN AMER. & CARIB    ",168458,616,"25,65",5400
175,"St Pierre & Miquelon ","NORTHERN AMERICA                   ",7026,242,"49,59",6900
176,"Saint Vincent and the Grenadines ","LATIN AMER. & CARIB    ",117848,389,"21,59",2900
177,"Samoa ","OCEANIA                            ",176908,2944,"13,69",5600
178,"San Marino ","WESTERN EUROPE                     ",29251,61,"0,00",34600
179,"Sao Tome & Principe ","SUB-SAHARAN AFRICA                 ",193413,1001,"20,88",1200
180,"Saudi Arabia ","NEAR EAST                          ",27019731,1960582,"0,13",11800
181,"Senegal ","SUB-SAHARAN AFRICA                 ",11987121,196190,"0,27",1600
182,"Serbia ","EASTERN EUROPE                     ",9396411,88361,"0,00",2200
183,"Seychelles ","SUB-SAHARAN AFRICA                 ",81541,455,"107,91",7800
184,"Sierra Leone ","SUB-SAHARAN AFRICA                 ",6005250,71740,"0,56",500
185,"Singapore ","ASIA (EX. NEAR EAST)         ",4492150,693,"27,85",23700
186,"Slovakia ","EASTERN EUROPE                     ",5439448,48845,"0,00",13300
187,"Slovenia ","EASTERN EUROPE                     ",2010347,20273,"0,23",19000
188,"Solomon Islands ","OCEANIA                            ",552438,28450,"18,67",1700
189,"Somalia ","SUB-SAHARAN AFRICA                 ",8863338,637657,"0,47",500
190,"South Africa ","SUB-SAHARAN AFRICA                 ",44187637,1219912,"0,23",10700
191,"Spain ","WESTERN EUROPE                     ",40397842,504782,"0,98",22000
192,"Sri Lanka ","ASIA (EX. NEAR EAST)         ",20222240,65610,"2,04",3700
193,"Sudan ","SUB-SAHARAN AFRICA                 ",41236378,2505810,"0,03",1900
194,"Suriname ","LATIN AMER. & CARIB    ",439117,163270,"0,24",4000
195,"Swaziland ","SUB-SAHARAN AFRICA                 ",1136334,17363,"0,00",4900
196,"Sweden ","WESTERN EUROPE                     ",9016596,449964,"0,72",26800
197,"Switzerland ","WESTERN EUROPE                     ",7523934,41290,"0,00",32700
198,"Syria ","NEAR EAST                          ",18881361,185180,"0,10",3300
199,"Taiwan ","ASIA (EX. NEAR EAST)         ",23036087,35980,"4,35",23400
200,"Tajikistan ","C.W. OF IND. STATES ",7320815,143100,"0,00",1000
201,"Tanzania ","SUB-SAHARAN AFRICA                 ",37445392,945087,"0,15",600
202,"Thailand ","ASIA (EX. NEAR EAST)         ",64631595,514000,"0,63",7400
203,"Togo ","SUB-SAHARAN AFRICA                 ",5548702,56785,"0,10",1500
204,"Tonga ","OCEANIA                            ",114689,748,"56,02",2200
205,"Trinidad & Tobago ","LATIN AMER. & CARIB    ",1065842,5128,"7,06",9500
206,"Tunisia ","NORTHERN AFRICA                    ",10175014,163610,"0,70",6900
207,"Turkey ","NEAR EAST                          ",70413958,780580,"0,92",6700
208,"Turkmenistan ","C.W. OF IND. STATES ",5042920,488100,"0,00",5800
209,"Turks & Caicos Is ","LATIN AMER. & CARIB    ",21152,430,"90,47",9600
210,"Tuvalu ","OCEANIA                            ",11810,26,"92,31",1100
211,"Uganda ","SUB-SAHARAN AFRICA                 ",28195754,236040,"0,00",1400
212,"Ukraine ","C.W. OF IND. STATES ",46710816,603700,"0,46",5400
213,"United Arab Emirates ","NEAR EAST                          ",2602713,82880,"1,59",23200
214,"United Kingdom ","WESTERN EUROPE                     ",60609153,244820,"5,08",27700
215,"United States ","NORTHERN AMERICA                   ",298444215,9631420,"0,21",37800
216,"Uruguay ","LATIN AMER. & CARIB    ",3431932,176220,"0,37",12800
217,"Uzbekistan ","C.W. OF IND. STATES ",27307134,447400,"0,00",1700
218,"Vanuatu ","OCEANIA                            ",208869,12200,"20,72",2900
219,"Venezuela ","LATIN AMER. & CARIB    ",25730435,912050,"0,31",4800
220,"Vietnam ","ASIA (EX. NEAR EAST)         ",84402966,329560,"1,05",2500
221,"Virgin Islands ","LATIN AMER. & CARIB    ",108605,1910,"9,84",17200
222,"Wallis and Futuna ","OCEANIA                            ",16025,274,"47,08",3700
223,"West Bank ","NEAR EAST                          ",2460492,5860,"0,00",800
224,"Western Sahara ","NORTHERN AFRICA                    ",273008,266000,"0,42",
225,"Yemen ","NEAR EAST                          ",21456188,527970,"0,36",800
226,"Zambia ","SUB-SAHARAN AFRICA                 ",11502010,752614,"0,00",800
227,"Zimbabwe ","SUB-SAHARAN AFRICA                 ",12236805,390580,"0,00",1900
