lat(°),long(°),height(m),time(s) 
-20.89317566715181,55.55582955479622,39.400001525878906,0
-20.89310542680323,55.55600808933377,39.599998474121094,0
-20.89302772656083,55.55619307793677,39.79999923706055,0
-20.892956145107746,55.55637773126364,40.0,0
-20.892875427380204,55.556569676846266,40.20000076293945,0
-20.892811389639974,55.556762209162116,39.599998474121094,0
-20.892728911712766,55.55695583112538,39.599998474121094,0
-20.89265883900225,55.557142244651914,40.400001525878906,0
-20.892613241449,55.557314325124025,40.79999923706055,0
-20.892561692744493,55.55750115774572,41.400001525878906,0
-20.892508635297418,55.557698803022504,41.79999923706055,0
-20.892478711903095,55.55778454989195,42.0,0
-20.892419619485736,55.55797121487558,42.400001525878906,0
-20.892341500148177,55.558151844888926,43.0,0
-20.892316354438663,55.55818662978709,43.0,0
-20.892246952280402,55.55838352069259,43.400001525878906,0
-20.892220549285412,55.55857663974166,43.79999923706055,0
-20.8922263327986,55.5586935672909,44.0,0
-20.892222141847014,55.55890160612762,44.400001525878906,0
-20.89225164614618,55.559110064059496,44.79999923706055,0
-20.892251394689083,55.55914635770023,45.0,0
-20.8922522328794,55.55918307043612,44.79999923706055,0
-20.89225466363132,55.559195056557655,45.20000076293945,0
-20.89222490787506,55.559394462034106,45.400001525878906,0
-20.89225810021162,55.5595831386745,45.599998474121094,0
-20.892310570925474,55.55973635986447,46.20000076293945,0
-20.89236756786704,55.55992612615228,46.79999923706055,0
-20.892382822930813,55.56002461351454,47.400001525878906,0
-20.892418026924133,55.560227958485484,47.400001525878906,0
-20.89244862087071,55.56043247692287,47.400001525878906,0
-20.892477873712778,55.560641437768936,47.20000076293945,0
-20.892513496801257,55.56083908304572,46.79999923706055,0
-20.89254878461361,55.56100177578628,46.400001525878906,0
-20.892599830403924,55.56120445020497,46.20000076293945,0
-20.892634615302086,55.561408046633005,46.20000076293945,0
-20.892652049660683,55.56161315180361,45.20000076293945,0
-20.892667220905423,55.56181917898357,44.599998474121094,0
-20.892645847052336,55.5619918461889,44.20000076293945,0
-20.89261877350509,55.56219007819891,44.20000076293945,0
-20.892602261155844,55.562384873628616,43.79999923706055,0
-20.892612235620618,55.56258528493345,43.400001525878906,0
-20.892616091296077,55.562651669606566,43.0,0
-20.892642242833972,55.56285945698619,42.79999923706055,0
-20.89266126975417,55.56305995211005,42.599998474121094,0
-20.892658503726125,55.56326254270971,42.0,0
-20.892629753798246,55.563473012298346,41.599998474121094,0
-20.89262707158923,55.56354216299951,41.0,0
-20.89261910878122,55.56374148465693,40.79999923706055,0
-20.892636040225625,55.56394784711301,41.0,0
-20.89263629168272,55.563971819356084,41.0,0
-20.892639812082052,55.564169799908996,41.400001525878906,0
-20.892671076580882,55.564364260062575,41.599998474121094,0
-20.892737461254,55.56455000303686,41.79999923706055,0
-20.892808455973864,55.56474949233234,41.79999923706055,0
-20.892862267792225,55.56494546122849,41.79999923706055,0
-20.892901495099068,55.56515324860811,42.20000076293945,0
-20.892908619716763,55.56520261801779,42.20000076293945,0
-20.89294893667102,55.5653902888298,42.20000076293945,0
-20.892983553931117,55.56559304706752,42.400001525878906,0
-20.893025463446975,55.56579572148621,42.400001525878906,0
-20.893117748200893,55.56597995571792,42.400001525878906,0
-20.8931830432266,55.56616301648319,43.0,0
-20.89330173097551,55.566324200481176,42.400001525878906,0
-20.893339281901717,55.56639519520104,43.0,0
-20.893414970487356,55.56657465174794,42.79999923706055,0
-20.89347716420889,55.566759807989,43.0,0
-20.893496526405215,55.56689416989684,43.20000076293945,0
-20.893519995734096,55.567097095772624,43.0,0
-20.89351329021156,55.56729432195425,43.400001525878906,0
-20.893514212220907,55.56749171577394,43.400001525878906,0
-20.89353139512241,55.56769195944071,44.0,0
